@800 context (u1)
@1535698613378 s1 (ds6,138,138)
@1535698613537 s3 (ds7,58)
@1535698613556 s5 (58)
@1535698613558 s4 (88)
@1535698613582 s1 (ds1,63,63)
@1535698613626 s2 (ds7,60)
@1535698613775 s5 (59)
@1535698613788 s4 (83)
@1535698613803 s3 (ds9,71)
@1535698613856 s1 (ds3,132,132)
@1535698613879 s2 (ds6,195)
@1535698614001 s5 (113)
@1535698614007 s4 (167)
@1535698614066 s3 (ds6,52)
@1535698614074 s1 (ds4,129,129)
@1535698614108 s2 (ds8,80)
@1535698614251 s4 (106)
@1535698614260 s5 (110)
@1535698614281 s1 (ds10,195,195)
@1535698614330 s2 (ds6,103)
@1535698614357 s3 (ds6,86)
@1535698614465 s5 (198)
@1535698614538 s4 (163)
@1535698614575 s1 (ds7,54,54)
@1535698614594 s3 (ds10,59)
@1535698614609 s2 (ds5,60)
@1535698614716 s5 (99)
@1535698614814 s4 (96)
@1535698614822 s2 (ds10,153)
@1535698614837 s1 (ds6,188,188)
@1535698614859 s3 (ds3,118)
@1535698614970 s5 (154)
@1535698615014 s4 (169)
@1535698615074 s1 (ds3,50,50)
@1535698615093 s2 (ds10,169)
@1535698615095 s3 (ds6,76)
@1535698615260 s5 (94)
@1535698615278 s1 (ds3,51,51)
@1535698615296 s4 (119)
@1535698615370 s2 (ds6,134)
@1535698615383 s3 (ds5,171)
@1535698615521 s4 (104)
@1535698615540 s1 (ds6,145,145)
@1535698615546 s5 (62)
@1535698615615 s3 (ds4,121)
@1535698615628 s2 (ds6,116)
@1535698615746 s1 (ds3,183,183)
@1535698615821 s4 (53)
@1535698615825 s5 (59)
@1535698615869 s2 (ds5,134)
@1535698615904 s3 (ds2,63)
@1535698615971 s1 (ds6,162,162)
@1535698616058 s5 (111)
@1535698616090 s2 (ds2,123)
@1535698616115 s4 (121)
@1535698616166 s3 (ds9,162)
@1535698616174 s1 (ds5,192,192)
@1535698616302 s5 (154)
@1535698616350 s2 (ds9,82)
@1535698616366 s4 (122)
@1535698616377 s3 (ds5,128)
@1535698616427 s1 (ds6,176,176)
@1535698616546 s5 (138)
@1535698616610 s3 (ds1,126)
@1535698616613 s2 (ds2,160)
@1535698616638 s4 (65)
@1535698616689 s1 (ds8,51,51)
@1535698616831 s5 (131)
@1535698616839 s4 (92)
@1535698616857 s2 (ds7,132)
@1535698616891 s3 (ds8,102)
@1535698616893 s1 (ds7,188,188)
@1535698617068 s5 (110)
@1535698617125 s1 (ds1,52,52)
@1535698617128 s4 (109)
@1535698617152 s3 (ds6,108)
@1535698617155 s2 (ds6,172)
@1535698617269 s5 (133)
@1535698617370 s4 (71)
@1535698617410 s2 (ds9,139)
@1535698617416 s1 (ds8,159,159)
@1535698617424 s3 (ds3,107)
@1535698617530 s5 (110)
@1535698617613 s2 (ds5,75)
@1535698617639 s4 (184)
@1535698617680 s1 (ds4,51,51)
@1535698617698 s3 (ds4,53)
@1535698617808 s5 (197)
@1535698617848 s2 (ds4,145)
@1535698617916 s1 (ds4,109,109)
@1535698617927 s4 (57)
@1535698617946 s3 (ds4,90)
@1535698618051 s2 (ds4,179)
@1535698618053 s5 (125)
@1535698618138 s1 (ds3,163,163)
@1535698618171 s4 (189)
@1535698618236 s3 (ds10,141)
@1535698618293 s5 (119)
@1535698618331 s2 (ds6,72)
@1535698618380 s1 (ds10,112,112)
@1535698618463 s4 (66)
@1535698618507 s3 (ds6,72)
@1535698618545 s5 (79)
@1535698618562 s2 (ds6,78)
@1535698618675 s4 (51)
@1535698618678 s1 (ds8,185,185)
@1535698618754 s3 (ds8,148)
@1535698618765 s2 (ds9,52)
@1535698618837 s5 (138)
@1535698618884 s1 (ds6,154,154)
@1535698618960 s4 (128)
@1535698618970 s3 (ds2,76)
@1535698618993 s2 (ds1,96)
@1535698619043 s5 (147)
@1535698619090 s1 (ds8,72,72)
@1535698619183 s4 (120)
@1535698619220 s3 (ds10,54)
@1535698619255 s5 (69)
@1535698619281 s2 (ds8,163)
@1535698619348 s1 (ds1,118,118)
@1535698619412 s4 (102)
@1535698619464 s3 (ds9,115)
@1535698619496 s5 (50)
@1535698619498 s2 (ds1,103)
@1535698619606 s1 (ds7,69,69)
@1535698619688 s4 (95)
@1535698619694 s3 (ds1,63)
@1535698619701 s2 (ds10,193)
@1535698619744 s5 (126)
@1535698619878 s1 (ds5,181,181)
@1535698619944 s2 (ds5,160)
@1535698619959 s4 (66)
@1535698619969 s5 (59)
@1535698619984 s3 (ds10,166)
@1535698620122 s1 (ds5,81,81)
@1535698620234 s4 (131)
@1535698620234 s2 (ds1,97)
@1535698620251 s5 (199)
@1535698620261 s3 (ds7,75)
@1535698620407 s1 (ds10,159,159)
@1535698620458 s4 (104)
@1535698620475 s2 (ds1,51)
@1535698620503 s5 (198)
@1535698620543 s3 (ds8,105)
@1535698620628 s1 (ds8,161,161)
@1535698620685 s2 (ds10,107)
@1535698620703 s4 (55)
@1535698620759 s5 (168)
@1535698620821 s3 (ds3,194)
@1535698620836 s1 (ds8,112,112)
@1535698620894 s2 (ds3,126)
@1535698620923 s4 (180)
@1535698621001 s5 (154)
@1535698621047 s1 (ds3,107,107)
@1535698621069 s3 (ds1,123)
@1535698621139 s2 (ds9,152)
@1535698621192 s4 (97)
@1535698621240 s5 (138)
@1535698621269 s3 (ds8,169)
@1535698621285 s1 (ds3,87,87)
@1535698621354 s2 (ds3,128)
@1535698621423 s4 (199)
@1535698621505 s3 (ds4,144)
@1535698621527 s5 (131)
@1535698621563 s2 (ds6,170)
@1535698621584 s1 (ds1,145,145)
@1535698621701 s4 (148)
@1535698621719 s3 (ds10,78)
@1535698621740 s5 (90)
@1535698621782 s2 (ds8,175)
@1535698621868 s1 (ds1,85,85)
@1535698621969 s5 (168)
@1535698621995 s4 (57)
@1535698622009 s3 (ds5,93)
@1535698622078 s2 (ds8,177)
@1535698622083 s1 (ds6,89,89)
@1535698622188 s5 (66)
@1535698622217 s4 (141)
@1535698622225 s3 (ds1,67)
@1535698622288 s1 (ds6,77,77)
@1535698622326 s2 (ds6,197)
@1535698622439 s5 (139)
@1535698622443 s4 (118)
@1535698622490 s3 (ds9,84)
@1535698622517 s1 (ds10,50,50)
@1535698622591 s2 (ds5,113)
@1535698622671 s4 (120)
@1535698622704 s5 (94)
@1535698622721 s3 (ds2,61)
@1535698622771 s1 (ds2,-1,147)
@1535698622802 s2 (ds7,123)
@1535698622944 s4 (199)
@1535698622976 s3 (ds4,94)
@1535698622990 s5 (87)
@1535698623014 s2 (ds1,86)
@1535698623057 s1 (ds2,174,174)
@1535698623169 s4 (106)
@1535698623225 s3 (ds10,139)
@1535698623239 s2 (ds7,87)
@1535698623288 s5 (128)
@1535698623351 s1 (ds5,67,67)
@1535698623394 s4 (144)
@1535698623436 s3 (ds2,166)
@1535698623452 s2 (ds5,121)
@1535698623497 s5 (123)
@1535698623577 s1 (ds7,88,88)
@1535698623600 s4 (132)
@1535698623691 s2 (ds2,60)
@1535698623729 s3 (ds1,196)
@1535698623751 s5 (112)
@1535698623830 s1 (ds9,117,117)
@1535698623895 s4 (129)
@1535698623962 s2 (ds5,168)
@1535698623992 s5 (128)
@1535698624026 s3 (ds10,125)
@1535698624065 s1 (ds7,183,183)
@1535698624140 s4 (154)
@1535698624255 s2 (ds4,181)
@1535698624280 s5 (157)
@1535698624315 s3 (ds8,97)
@1535698624346 s4 (85)
@1535698624353 s1 (ds6,179,179)
@1535698624491 s5 (76)
@1535698624543 s2 (ds4,124)
@1535698624593 s3 (ds1,53)
@1535698624623 s1 (ds9,71,71)
@1535698624635 s4 (106)
@1535698624748 s5 (85)
@1535698624803 s3 (ds3,145)
@1535698624806 s2 (ds5,186)
@1535698624825 s1 (ds5,192,192)
@1535698624899 s4 (88)
@1535698624997 s5 (77)
@1535698625009 s2 (ds1,137)
@1535698625015 s3 (ds8,79)
@1535698625062 s1 (ds6,73,73)
@1535698625196 s4 (144)
@1535698625245 s3 (ds1,150)
@1535698625246 s5 (167)
@1535698625248 s2 (ds1,140)
@1535698625355 s1 (ds5,159,159)
@1535698625454 s4 (182)
@1535698625454 s3 (ds1,170)
@1535698625480 s2 (ds7,108)
@1535698625524 s5 (134)
@1535698625575 s1 (ds1,-1,182)
@1535698625696 s4 (169)
@1535698625740 s5 (130)
@1535698625747 s3 (ds9,157)
@1535698625759 s2 (ds10,54)
@1535698625826 s1 (ds7,181,181)
@1535698625974 s4 (66)
@1535698626023 s5 (165)
@1535698626025 s3 (ds9,175)
@1535698626053 s2 (ds10,161)
@1535698626054 s1 (ds10,53,53)
@1535698626267 s3 (ds9,149)
@1535698626272 s4 (82)
@1535698626295 s5 (91)
@1535698626332 s1 (ds8,196,196)
@1535698626352 s2 (ds3,94)
@1535698626467 s3 (ds7,61)
@1535698626519 s4 (195)
@1535698626524 s5 (139)
@1535698626586 s1 (ds5,142,142)
@1535698626632 s2 (ds8,177)
@1535698626749 s3 (ds5,108)
@1535698626779 s5 (114)
@1535698626810 s4 (161)
@1535698626838 s2 (ds6,69)
@1535698626858 s1 (ds6,66,66)
@1535698627015 s4 (136)
@1535698627038 s5 (155)
@1535698627045 s3 (ds10,196)
@1535698627051 s2 (ds2,168)
@1535698627116 s1 (ds6,199,199)
@1535698627245 s4 (184)
@1535698627286 s2 (ds9,96)
@1535698627324 s3 (ds5,163)
@1535698627326 s5 (199)
@1535698627329 s1 (ds3,191,191)
@1535698627531 s4 (112)
@1535698627556 s1 (ds9,188,188)
@1535698627576 s5 (132)
@1535698627580 s2 (ds5,68)
@1535698627595 s3 (ds7,138)
@1535698627778 s4 (123)
@1535698627808 s2 (ds9,78)
@1535698627821 s3 (ds4,170)
@1535698627821 s1 (ds2,141,141)
@1535698627842 s5 (157)
@1535698627999 s4 (104)
@1535698628025 s3 (ds9,99)
@1535698628063 s2 (ds10,60)
@1535698628067 s1 (ds4,184,184)
@1535698628141 s5 (195)
@1535698628251 s4 (77)
@1535698628280 s3 (ds3,170)
@1535698628346 s2 (ds8,96)
@1535698628350 s1 (ds8,51,51)
@1535698628430 s5 (100)
@1535698628524 s4 (163)
@1535698628540 s3 (ds5,139)
@1535698628564 s1 (ds6,154,154)
@1535698628615 s2 (ds4,148)
@1535698628701 s5 (51)
@1535698628776 s3 (ds5,146)
@1535698628777 s4 (154)
@1535698628827 s1 (ds10,186,186)
@1535698628866 s2 (ds9,74)
@1535698628915 s5 (161)
@1535698629023 s4 (84)
@1535698629047 s3 (ds1,98)
@1535698629124 s1 (ds5,95,95)
@1535698629154 s2 (ds5,59)
@1535698629172 s5 (102)
@1535698629224 s4 (108)
@1535698629295 s3 (ds4,117)
@1535698629324 s1 (ds2,137,137)
@1535698629360 s2 (ds4,50)
@1535698629429 s4 (167)
@1535698629437 s5 (199)
@1535698629575 s3 (ds8,67)
@1535698629589 s2 (ds5,75)
@1535698629610 s1 (ds9,194,194)
@1535698629648 s5 (79)
@1535698629729 s4 (92)
@1535698629817 s2 (ds7,131)
@1535698629864 s3 (ds9,134)
@1535698629884 s5 (109)
@1535698629889 s1 (ds7,133,133)
@1535698630001 s4 (73)
@1535698630082 s2 (ds7,99)
@1535698630116 s3 (ds7,93)
@1535698630133 s5 (97)
@1535698630165 s1 (ds5,61,61)
@1535698630266 s4 (196)
@1535698630354 s5 (159)
@1535698630380 s2 (ds1,124)
@1535698630405 s3 (ds1,146)
@1535698630427 s1 (ds3,140,140)
@1535698630533 s4 (141)
@1535698630579 s5 (153)
@1535698630622 s2 (ds6,188)
@1535698630649 s1 (ds6,196,196)
@1535698630674 s3 (ds7,92)
@1535698630786 s4 (157)
@1535698630805 s5 (151)
@1535698630844 s2 (ds2,89)
@1535698630876 s1 (ds6,130,130)
@1535698630881 s3 (ds4,69)
@1535698631046 s4 (167)
@1535698631076 s5 (53)
@1535698631094 s3 (ds6,105)
@1535698631096 s1 (ds8,69,69)
@1535698631109 s2 (ds6,78)
@1535698631253 s4 (199)
@1535698631300 s3 (ds4,188)
@1535698631345 s2 (ds4,103)
@1535698631356 s1 (ds3,189,189)
@1535698631377 s5 (67)
@1535698631512 s4 (63)
@1535698631571 s3 (ds9,64)
@1535698631593 s1 (ds3,116,116)
@1535698631646 s2 (ds9,73)
@1535698631652 s5 (116)
@1535698631756 s4 (113)
@1535698631787 s3 (ds5,78)
@1535698631843 s1 (ds10,145,145)
@1535698631872 s2 (ds8,105)
@1535698631942 s5 (174)
@1535698632015 s3 (ds8,116)
@1535698632016 s4 (159)
@1535698632049 s1 (ds5,199,199)
@1535698632094 s2 (ds4,79)
@1535698632152 s5 (78)
@1535698632269 s4 (157)
@1535698632287 s3 (ds7,75)
@1535698632302 s1 (ds9,93,93)
@1535698632341 s2 (ds4,143)
@1535698632388 s5 (166)
@1535698632502 s3 (ds4,138)
@1535698632540 s4 (166)
@1535698632543 s1 (ds5,140,140)
@1535698632591 s2 (ds3,99)
@1535698632678 s5 (63)
@1535698632725 s3 (ds4,114)
@1535698632758 s1 (ds4,71,71)
@1535698632804 s4 (90)
@1535698632873 s2 (ds5,195)
@1535698632977 s5 (169)
@1535698632981 s1 (ds1,-1,137)
@1535698632988 s3 (ds1,133)
@1535698633054 s4 (80)
@1535698633132 s2 (ds2,123)
@1535698633220 s5 (96)
@1535698633227 s1 (ds2,-1,97)
@1535698633271 s3 (ds7,181)
@1535698633292 s4 (175)
@1535698633407 s2 (ds3,76)
@1535698633438 s1 (ds6,167,167)
@1535698633463 s5 (198)
@1535698633528 s3 (ds6,76)
@1535698633531 s4 (184)
@1535698633630 s2 (ds5,139)
@1535698633667 s5 (142)
@1535698633709 s1 (ds7,114,114)
@1535698633777 s3 (ds6,137)
@1535698633826 s4 (163)
@1535698633871 s5 (116)
@1535698633913 s1 (ds5,165,165)
@1535698633918 s2 (ds1,116)
@1535698634053 s3 (ds6,178)
@1535698634121 s4 (143)
@1535698634139 s1 (ds3,176,176)
@1535698634151 s2 (ds5,68)
@1535698634161 s5 (180)
@1535698634298 s3 (ds10,72)
@1535698634354 s1 (ds3,149,149)
@1535698634382 s4 (51)
@1535698634442 s2 (ds7,110)
@1535698634453 s5 (96)
@1535698634560 s3 (ds4,106)
@1535698634585 s1 (ds1,114,114)
@1535698634620 s4 (149)
@1535698634657 s2 (ds3,98)
@1535698634744 s5 (183)
@1535698634791 s1 (ds4,186,186)
@1535698634794 s3 (ds4,119)
@1535698634871 s4 (156)
@1535698634908 s2 (ds2,69)
@1535698634977 s5 (198)
@1535698634997 s3 (ds6,82)
@1535698635017 s1 (ds7,194,194)
@1535698635097 s4 (171)
@1535698635206 s2 (ds6,105)
@1535698635274 s5 (106)
@1535698635298 s3 (ds2,142)
@1535698635306 s1 (ds9,89,89)
@1535698635391 s4 (68)
@1535698635480 s2 (ds5,121)
@1535698635511 s1 (ds6,119,119)
@1535698635516 s3 (ds1,73)
@1535698635532 s5 (85)
@1535698635656 s4 (79)
@1535698635737 s2 (ds8,103)
@1535698635753 s3 (ds3,94)
@1535698635779 s5 (121)
@1535698635798 s1 (ds5,192,192)
@1535698635871 s4 (155)
@1535698635985 s5 (78)
@1535698636000 s1 (ds2,-1,50)
@1535698636037 s2 (ds6,114)
@1535698636052 s3 (ds5,190)
@1535698636136 s4 (160)
@1535698636266 s5 (159)
@1535698636278 s3 (ds10,155)
@1535698636299 s1 (ds3,57,57)
@1535698636311 s2 (ds5,161)
@1535698636351 s4 (176)
@1535698636492 s5 (141)
@1535698636533 s1 (ds4,123,123)
@1535698636543 s3 (ds2,159)
@1535698636561 s2 (ds1,168)
@1535698636566 s4 (183)
@1535698636738 s5 (119)
@1535698636765 s3 (ds9,85)
@1535698636789 s1 (ds8,55,55)
@1535698636814 s2 (ds7,110)
@1535698636842 s4 (183)
@1535698636941 s5 (196)
@1535698636989 s1 (ds8,50,50)
@1535698637028 s3 (ds10,95)
@1535698637043 s4 (161)
@1535698637064 s2 (ds8,58)
@1535698637168 s5 (50)
@1535698637206 s1 (ds7,111,111)
@1535698637272 s4 (177)
@1535698637275 s2 (ds10,145)
@1535698637320 s3 (ds5,99)
@1535698637398 s5 (139)
@1535698637431 s1 (ds8,155,155)
@1535698637534 s3 (ds9,172)
@1535698637541 s4 (129)
@1535698637541 s2 (ds4,120)
@1535698637602 s5 (125)
@1535698637695 s1 (ds6,196,196)
@1535698637751 s3 (ds1,183)
@1535698637762 s2 (ds3,131)
@1535698637819 s4 (132)
@1535698637884 s5 (51)
@1535698637978 s3 (ds4,51)
@1535698637988 s1 (ds8,188,188)
@1535698638052 s2 (ds9,87)
@1535698638074 s4 (126)
@1535698638102 s5 (134)
@1535698638186 s3 (ds1,116)
@1535698638245 s1 (ds1,160,160)
@1535698638313 s4 (185)
@1535698638340 s2 (ds7,97)
@1535698638397 s5 (147)
@1535698638471 s3 (ds6,90)
@1535698638488 s1 (ds1,151,151)
@1535698638517 s4 (193)
@1535698638618 s2 (ds3,180)
@1535698638657 s5 (150)
@1535698638700 s3 (ds6,72)
@1535698638714 s1 (ds6,107,107)
@1535698638740 s4 (82)
@1535698638889 s2 (ds10,149)
@1535698638913 s5 (166)
@1535698638922 s1 (ds10,95,95)
@1535698638945 s4 (99)
@1535698638961 s3 (ds10,54)
@1535698639123 s5 (145)
@1535698639168 s4 (171)
@1535698639174 s2 (ds10,160)
@1535698639184 s3 (ds9,109)
@1535698639221 s1 (ds10,166,166)
@1535698639326 s5 (85)
@1535698639384 s3 (ds8,164)
@1535698639398 s4 (108)
@1535698639444 s2 (ds4,75)
@1535698639476 s1 (ds6,191,191)
@1535698639595 s5 (186)
@1535698639645 s2 (ds6,112)
@1535698639647 s3 (ds1,185)
@1535698639660 s4 (98)
@1535698639677 s1 (ds10,54,54)
@1535698639849 s3 (ds10,128)
@1535698639858 s5 (118)
@1535698639891 s2 (ds1,149)
@1535698639911 s4 (72)
@1535698639959 s1 (ds6,77,77)
@1535698640060 s3 (ds4,197)
@1535698640088 s5 (155)
@1535698640124 s4 (97)
@1535698640151 s2 (ds7,64)
@1535698640178 s1 (ds10,167,167)
@1535698640323 s3 (ds4,91)
@1535698640337 s4 (53)
@1535698640372 s5 (171)
@1535698640399 s1 (ds2,139,139)
@1535698640409 s2 (ds6,157)
@1535698640579 s5 (184)
@1535698640605 s3 (ds4,103)
@1535698640620 s4 (116)
@1535698640622 s2 (ds2,65)
@1535698640659 s1 (ds4,112,112)
@1535698640855 s5 (179)
@1535698640876 s4 (195)
@1535698640887 s3 (ds7,175)
@1535698640901 s2 (ds6,113)
@1535698640917 s1 (ds1,-1,185)
@1535698641117 s4 (76)
@1535698641152 s5 (140)
@1535698641181 s3 (ds2,149)
@1535698641187 s2 (ds5,134)
@1535698641203 s1 (ds7,54,54)
@1535698641321 s4 (166)
@1535698641357 s5 (162)
@1535698641391 s2 (ds10,72)
@1535698641449 s3 (ds1,70)
@1535698641501 s1 (ds8,63,63)
@1535698641573 s5 (75)
@1535698641616 s4 (187)
@1535698641644 s2 (ds8,189)
@1535698641671 s3 (ds7,147)
@1535698641728 s1 (ds6,59,59)
@1535698641808 s5 (187)
@1535698641823 s4 (148)
@1535698641881 s3 (ds8,155)
@1535698641906 s2 (ds8,84)
@1535698641996 s1 (ds1,193,193)
@1535698642067 s4 (52)
@1535698642081 s5 (184)
@1535698642122 s2 (ds5,184)
@1535698642128 s3 (ds7,169)
@1535698642290 s1 (ds10,82,82)
@1535698642312 s4 (118)
@1535698642333 s5 (119)
@1535698642369 s3 (ds7,72)
@1535698642396 s2 (ds10,65)
@1535698642535 s1 (ds2,91,91)
@1535698642558 s4 (66)
@1535698642607 s5 (139)
@1535698642637 s2 (ds9,92)
@1535698642646 s3 (ds5,51)
@1535698642783 s1 (ds6,96,96)
@1535698642803 s4 (152)
@1535698642844 s5 (111)
@1535698642849 s2 (ds9,152)
@1535698642930 s3 (ds4,55)
@1535698643084 s1 (ds3,118,118)
@1535698643091 s2 (ds3,148)
@1535698643094 s4 (185)
@1535698643103 s5 (131)
@1535698643192 s3 (ds4,51)
@1535698643301 s2 (ds4,128)
@1535698643328 s5 (122)
@1535698643329 s4 (81)
@1535698643377 s1 (ds5,186,186)
@1535698643428 s3 (ds3,135)
@1535698643513 s2 (ds10,164)
@1535698643552 s5 (163)
@1535698643566 s4 (82)
@1535698643593 s1 (ds9,107,107)
@1535698643722 s2 (ds6,145)
@1535698643725 s3 (ds8,88)
@1535698643805 s4 (134)
@1535698643809 s5 (172)
@1535698643876 s1 (ds8,109,109)
@1535698643966 s2 (ds9,111)
@1535698643987 s3 (ds5,193)
@1535698644058 s5 (110)
@1535698644092 s4 (193)
@1535698644160 s1 (ds1,116,116)
@1535698644207 s2 (ds8,196)
@1535698644258 s3 (ds10,151)
@1535698644262 s5 (133)
@1535698644330 s4 (108)
@1535698644388 s1 (ds10,153,153)
@1535698644462 s3 (ds8,136)
@1535698644474 s2 (ds8,82)
@1535698644475 s5 (189)
@1535698644563 s4 (64)
@1535698644679 s1 (ds9,173,173)
@1535698644729 s5 (194)
@1535698644746 s2 (ds4,177)
@1535698644754 s3 (ds7,195)
@1535698644831 s4 (70)
@1535698644901 s1 (ds5,118,118)
@1535698644955 s5 (199)
@1535698645008 s3 (ds8,190)
@1535698645039 s2 (ds8,93)
@1535698645059 s4 (98)
@1535698645138 s1 (ds4,59,59)
@1535698645172 s5 (108)
@1535698645212 s3 (ds9,73)
@1535698645252 s2 (ds9,101)
@1535698645284 s4 (76)
@1535698645341 s1 (ds10,64,64)
@1535698645393 s5 (55)
@1535698645421 s3 (ds7,77)
@1535698645498 s2 (ds6,130)
@1535698645551 s4 (141)
@1535698645609 s1 (ds8,158,158)
@1535698645663 s3 (ds5,133)
@1535698645671 s5 (71)
@1535698645796 s2 (ds3,104)
@1535698645842 s4 (92)
@1535698645885 s1 (ds8,58,58)
@1535698645935 s5 (157)
@1535698645942 s3 (ds4,191)
@1535698646034 s2 (ds9,53)
@1535698646056 s4 (159)
@1535698646090 s1 (ds6,79,79)
@1535698646166 s3 (ds1,61)
@1535698646194 s5 (153)
@1535698646275 s4 (114)
@1535698646307 s2 (ds2,100)
@1535698646359 s1 (ds7,162,162)
@1535698646415 s3 (ds4,58)
@1535698646438 s5 (150)
@1535698646480 s4 (175)
@1535698646584 s2 (ds2,132)
@1535698646658 s1 (ds4,190,190)
@1535698646703 s3 (ds3,63)
@1535698646710 s5 (125)
@1535698646735 s4 (90)
@1535698646792 s2 (ds1,58)
@1535698646922 s1 (ds8,81,81)
@1535698646928 s3 (ds7,83)
@1535698647005 s5 (90)
@1535698647033 s4 (106)
@1535698647065 s2 (ds4,115)
@1535698647154 s1 (ds5,198,198)
@1535698647190 s3 (ds2,192)
@1535698647262 s5 (102)
@1535698647330 s4 (164)
@1535698647338 s2 (ds2,134)
@1535698647412 s1 (ds5,185,185)
@1535698647427 s3 (ds5,65)
@1535698647485 s5 (197)
@1535698647533 s4 (113)
@1535698647575 s2 (ds7,104)
@1535698647691 s5 (198)
@1535698647694 s1 (ds1,101,101)
@1535698647715 s3 (ds3,98)
@1535698647788 s2 (ds10,95)
@1535698647831 s4 (115)
@1535698647921 s5 (157)
@1535698647976 s1 (ds8,170,170)
@1535698648003 s3 (ds3,126)
@1535698648028 s2 (ds1,65)
@1535698648070 s4 (67)
@1535698648180 s1 (ds6,197,197)
@1535698648200 s5 (73)
@1535698648207 s3 (ds1,56)
@1535698648298 s2 (ds5,69)
@1535698648354 s4 (128)
@1535698648388 s1 (ds4,189,189)
@1535698648409 s3 (ds1,171)
@1535698648495 s5 (105)
@1535698648531 s2 (ds6,159)
@1535698648568 s4 (158)
@1535698648643 s3 (ds5,71)
@1535698648672 s1 (ds3,81,81)
@1535698648726 s5 (127)
@1535698648737 s2 (ds10,162)
@1535698648782 s4 (139)
@1535698648851 s3 (ds6,134)
@1535698648917 s1 (ds2,-1,144)
@1535698648947 s2 (ds10,123)
@1535698648967 s5 (102)
@1535698648985 s4 (136)
@1535698649142 s3 (ds8,120)
@1535698649174 s1 (ds9,125,125)
@1535698649186 s2 (ds4,103)
@1535698649216 s4 (159)
@1535698649219 s5 (123)
@1535698649397 s1 (ds2,-1,125)
@1535698649436 s3 (ds2,188)
@1535698649472 s4 (106)
@1535698649479 s2 (ds5,61)
@1535698649492 s5 (154)
@1535698649648 s1 (ds6,129,129)
@1535698649675 s3 (ds2,163)
@1535698649691 s2 (ds5,137)
@1535698649694 s4 (184)
@1535698649698 s5 (124)
@1535698649871 s1 (ds9,114,114)
@1535698649884 s3 (ds8,172)
@1535698649911 s5 (171)
@1535698649965 s2 (ds9,87)
@1535698649973 s4 (89)
@1535698650087 s1 (ds10,175,175)
@1535698650093 s3 (ds8,169)
@1535698650163 s5 (119)
@1535698650188 s4 (53)
@1535698650232 s2 (ds7,91)
@1535698650323 s1 (ds6,52,52)
@1535698650366 s3 (ds2,162)
@1535698650418 s5 (50)
@1535698650431 s4 (179)
@1535698650438 s2 (ds5,61)
@1535698650614 s1 (ds5,77,77)
@1535698650639 s5 (68)
@1535698650648 s3 (ds5,193)
@1535698650649 s2 (ds9,181)
@1535698650723 s4 (136)
@1535698650832 s1 (ds8,54,54)
@1535698650874 s5 (180)
@1535698650905 s2 (ds9,83)
@1535698650940 s3 (ds4,166)
@1535698650989 s4 (178)
@1535698651126 s5 (121)
@1535698651131 s1 (ds7,125,125)
@1535698651163 s2 (ds8,182)
@1535698651212 s3 (ds8,80)
@1535698651247 s4 (163)
@1535698651385 s1 (ds6,125,125)
@1535698651402 s2 (ds5,198)
@1535698651424 s5 (80)
@1535698651463 s4 (171)
@1535698651507 s3 (ds1,112)
@1535698651658 s5 (191)
@1535698651660 s1 (ds1,152,152)
@1535698651676 s2 (ds8,97)
@1535698651707 s4 (114)
@1535698651766 s3 (ds6,140)
@1535698651864 s1 (ds1,130,130)
@1535698651925 s2 (ds5,52)
@1535698651948 s5 (115)
@1535698651974 s3 (ds8,71)
@1535698651976 s4 (100)
@1535698652154 s1 (ds9,177,177)
@1535698652162 s2 (ds5,109)
@1535698652182 s4 (135)
@1535698652188 s5 (88)
@1535698652220 s3 (ds9,104)
@1535698652384 s2 (ds3,113)
@1535698652416 s1 (ds10,122,122)
@1535698652447 s5 (137)
@1535698652452 s4 (76)
@1535698652518 s3 (ds9,144)
@1535698652648 s2 (ds4,82)
@1535698652675 s1 (ds5,199,199)
@1535698652683 s4 (156)
@1535698652741 s5 (50)
@1535698652804 s3 (ds7,91)
@1535698652878 s1 (ds2,89,89)
@1535698652904 s2 (ds7,72)
@1535698652929 s4 (169)
@1535698653031 s5 (116)
@1535698653070 s3 (ds5,195)
@1535698653111 s1 (ds4,144,144)
@1535698653148 s4 (126)
@1535698653177 s2 (ds9,112)
@1535698653292 s5 (59)
@1535698653329 s1 (ds7,67,67)
@1535698653365 s3 (ds5,82)
@1535698653380 s2 (ds2,156)
@1535698653435 s4 (175)
@1535698653575 s1 (ds8,53,53)
@1535698653584 s5 (70)
@1535698653585 s3 (ds10,177)
@1535698653628 s2 (ds5,164)
@1535698653663 s4 (141)
@1535698653802 s5 (190)
@1535698653857 s1 (ds10,160,160)
@1535698653884 s3 (ds3,186)
@1535698653927 s2 (ds9,179)
@1535698653935 s4 (180)
@1535698654047 s5 (82)
@1535698654090 s1 (ds6,73,73)
@1535698654137 s4 (156)
@1535698654166 s2 (ds5,183)
@1535698654185 s3 (ds8,165)
@1535698654271 s5 (178)
@1535698654355 s1 (ds2,-1,145)
@1535698654364 s4 (52)
@1535698654432 s3 (ds7,142)
@1535698654445 s2 (ds3,171)
@1535698654561 s5 (66)
@1535698654578 s4 (74)
@1535698654584 s1 (ds6,170,170)
@1535698654678 s3 (ds6,67)
@1535698654703 s2 (ds6,132)
@1535698654830 s4 (189)
@1535698654833 s5 (115)
@1535698654876 s1 (ds6,111,111)
